codigo P;nombre P;cantidad;precio;bod;cant_real;
7702080551559;ZAP. LISA TRAIN GOLTY NEON VER/NAR 2;1;78000;TFG  ;1;
7702080551658;ZAP. LISA TRAIN GOLTY NEON VER/NAR 2 1/2;1;78000;TFG  ;1;
7702080551757;ZAP. LISA TRAIN GOLTY NEON VER/NAR 3 1/2;1;78000;TFG  ;1;
7702080554451;ZAP. TORR TRAIN GOLTY NEON NAR/VER 1;2;78000;TFG  ;2;
7702080554550;ZAP. TORR TRAIN GOLTY NEON NAR/VER 2;2;78000;TFG  ;2;
7702080554659;ZAP. TORR TRAIN GOLTY NEON NAR/VER 2 1/2;1;78000;TFG  ;1;
7702080554758;ZAP. TORR TRAIN GOLTY NEON NAR/VER 3 1/2;1;78000;TFG  ;1;
7702080554857;ZAP. TORR TRAIN GOLTY NEON NAR/VER 4 1/2;3;78000;TFG  ;3;
7702080554956;ZAP. TORR TRAIN GOLTY NEON NAR/VER 5;2;78000;TFG  ;2;
7702080555250;ZAP. TORR TRAIN GOLTY NEON VER/MOR 2;1;78000;TFG  ;1;
7702080555939;GUAYO GAMERS AZUL / VERDE / NEGRO 13;3;65600;TFG  ;3;
7702080556035;GUAYO GAMERS AZUL / VERDE / NEGRO 1;5;65600;TFG  ;5;
7702080556059;ZAP. TORR TRAIN GOLTY NEON VER/MOR 2 1/2;1;78000;TFG  ;1;
7702080556158;ZAP. TORR TRAIN GOLTY NEON VER/MOR 3 1/2;1;78000;TFG  ;1;
7702080556257;ZAP. TORR TRAIN GOLTY NEON VER/MOR 4 1/2;3;78000;TFG  ;3;
7702080556356;ZAP. TORR TRAIN GOLTY NEON VER/MOR 5;2;78000;TFG  ;2;
7702080556455;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 13K;1;78000;TFG  ;1;
7702080556653;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 2;2;78000;TFG  ;2;
7702080556752;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 2 1/2;2;78000;TFG  ;2;
7702080556851;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 3 1/2;3;78000;TFG  ;3;
7702080556950;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 4 1/2;1;78000;TFG  ;1;
7702080557056;ZAP. TORR TRAIN GOLTY NEON AMAR/AZUL 5;3;78000;TFG  ;3;
7702080558350;ZAP. TORR TRAIN GOLTY NEON VER/NAR 4 1/2;2;78000;TFG  ;2;
7702080558558;ZAP. LISA TRAIN GOLTY NEON NAR/VER 13K;1;78000;TFG  ;1;
7702080558657;ZAP. LISA TRAIN GOLTY NEON NAR/VER 1;1;78000;TFG  ;1;
7702080558756;ZAP. LISA TRAIN GOLTY NEON NAR/VER 2;1;78000;TFG  ;1;
7702080558855;ZAP. LISA TRAIN GOLTY NEON NAR/VER 2 1/2;1;78000;TFG  ;1;
7702080559234;GUAYO GAMERS ROJO / AZUL / NEGRO  13;5;65600;TFG  ;5;
7702080559357;ZAP. LISA TRAIN GOLTY NEON VER/MOR 1;1;78000;TFG  ;1;
7702080559456;ZAP. LISA TRAIN GOLTY NEON VER/MOR 2;1;78000;TFG  ;1;
7702080559555;ZAP. LISA TRAIN GOLTY NEON VER/MOR 2 1/2;1;78000;TFG  ;1;
7702080559654;ZAP. LISA TRAIN GOLTY NEON VER/MOR 3 1/2;1;78000;TFG  ;1;
7702080559753;ZAP. LISA TRAIN GOLTY NEON VER/MOR 4 1/2;1;78000;TFG  ;1;
7702080559838;GUAYO GAMERS ROJO / AZUL / NEGRO  5;1;78000;TFG  ;1;
7702080559852;ZAP. LISA TRAIN GOLTY NEON VER/MOR 5;1;78000;TFG  ;1;
7702080559937;ZAP. TURF GAMERS AZUL/NEGRO 13;1;73300;TFG  ;1;
7702080559951;ZAP. LISA TRAIN GOLTY NEON AMAR/AZUL 13K;1;78000;TFG  ;1;
7702080560131;ZAP. TURF GAMERS AZUL/NEGRO 2;1;73300;TFG  ;1;
7702080560452;GUAYO CLASSICS  VERDE LIMON/AZUL 10 TPU;1;67300;TFG  ;1;
7702080560759;GUAYO CLASSICS AZUL/VERDE 7 1/2 TPU;1;67300;TFG  ;1;
7702080560858;GUAYO CLASSICS AZUL/VERDE 8 TPU;1;67300;TFG  ;1;
7702080561053;GUAYO CLASSICS AZUL/VERDE 9 1/2 TPU;1;67300;TFG  ;1;
7702080561152;GUAYO CLASSICS AZUL/VERDE 10 TPU;1;67300;TFG  ;1;
7702080561534;ZAP. TURF GAMERS AZUL / VERDE / NEGRO 2;3;73300;TFG  ;3;
7702080561756;GUAYO CLASSICS  NARANJA/AMARILLO 9 1/2 TPU;1;67300;TFG  ;1;
7702080562357;GUAYO CLASSICS BLANCO/PLATA 9 TPU;1;67300;TFG  ;1;
7702080562852;GUAYO  G-RACER VERDE/AZUL 13;5;78500;TFG  ;5;
7702080562951;GUAYO  G-RACER VERDE/AZUL 1;5;78500;TFG  ;5;
7702080563057;GUAYO  G-RACER VERDE/AZUL 2;3;78500;TFG  ;3;
7702080563552;GUAYO  G-RACER AMARILLO/NEGRO 13;8;78500;TFG  ;8;
7702080563637;ZAP. TURF GAMERS ROJO/AZUL/NEGRO 2;1;73300;TFG  ;1;
7702080563651;GUAYO  G-RACER AMARILLO/NEGRO 1;8;78500;TFG  ;8;
7702080564139;ZAP. LISA GAMERS AZUL / NEGRO 13;1;73300;TFG  ;1;
7702080564238;ZAP. LISA GAMERS AZUL / NEGRO 1;1;73300;TFG  ;1;
7702080564252;GUAYO  G-RACER GRIS/NEGRO/AZUL 13;7;78500;TFG  ;7;
7702080564337;ZAP. LISA GAMERS AZUL / NEGRO 2;1;73300;TFG  ;1;
7702080564351;GUAYO  G-RACER GRIS/NEGRO/AZUL 1;1;78500;TFG  ;1;
7702080564450;GUAYO  G-RACER GRIS/NEGRO/AZUL 2;8;78500;TFG  ;8;
7702080564535;ZAP. LISA GAMERS AZUL / NEGRO 3 ½;1;73300;TFG  ;1;
7702080564634;ZAP. LISA GAMERS AZUL/NEGRO / PLATA 4 1/2;1;73300;TFG  ;1;
7702080564832;ZAP. LISA GAMERS AMARILLO/NEGRO 13;1;73300;TFG  ;1;
7702080564931;ZAP. LISA GAMERS AMARILLO/NEGRO 1;1;73300;TFG  ;1;
7702080564955;GUAYO  G-RACER GRIS/NARANJA 13;7;78500;TFG  ;7;
7702080565037;ZAP. LISA GAMERS AMARILLO/NEGRO 2;1;73300;TFG  ;1;
7702080565136;ZAP. LISA GAMERS AMARILLO/NEGRO 2 ½;1;73300;TFG  ;1;
